"","SCIENTIFIC_NAME","GENUS","FAMILY","ORDER","Origin_Class","Equivalent","Equivalent_source"
"985","Oryzomys_lamia","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"986","Oryzomys_legatus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"987","Oryzomys_levipes","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"988","Oryzomys_macconnelli","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"989","Oryzomys_melanotis","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"990","Oryzomys_nitidus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"991","Oryzomys_oniscus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"993","Oryzomys_polius","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"994","Oryzomys_ratticeps","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"995","Oryzomys_rhabdops","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"996","Oryzomys_rostratus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"997","Oryzomys_saturatior","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"998","Oryzomys_subflavus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"999","Oryzomys_talamancae","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"1000","Oryzomys_xantheolus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"1001","Oryzomys_yunganus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"1014","Oxymycterus_iheringi","Oxymycterus","Muridae","Rodentia","North_America",NA,NA
"1026","Perognathus_alticola","Perognathus","Heteromyidae","Rodentia","North_America",NA,NA
"1069","Peromyscus_oreas","Peromyscus","Muridae","Rodentia","North_America",NA,NA
"1077","Peromyscus_sitkensis","Peromyscus","Muridae","Rodentia","North_America",NA,NA
"1105","Phyllotis_bonaeriensis","Phyllotis","Muridae","Rodentia","North_America",NA,NA
"1109","Phyllotis_gerbillus","Phyllotis","Muridae","Rodentia","North_America",NA,NA
"1135","Plecotus_townsendii","Plecotus","Vespertilionidae","Chiroptera","North_America",NA,NA
"1141","Procyon_insularis","Procyon","Procyonidae","Carnivora","North_America",NA,NA
"1144","Proechimys_albispinus","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1145","Proechimys_amphichoricus","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1146","Proechimys_bolivianus","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1149","Proechimys_cayennensis","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1152","Proechimys_dimidiatus","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1154","Proechimys_gorgonae","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1156","Proechimys_gularis","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1157","Proechimys_iheringi","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1164","Proechimys_setosus","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1167","Proechimys_trinitatis","Proechimys","Echimyidae","Rodentia","South_America",NA,NA
"1181","Puma_yaguarondi","Puma","Felidae","Carnivora","North_America",NA,NA
"1222","Rhipidomys_scandens","Rhipidomys","Muridae","Rodentia","North_America",NA,NA
"1247","Saguinus_graellsi","Saguinus","Callitrichidae","Primates","South_America",NA,NA
"1253","Saguinus_melanoleucus","Saguinus","Callitrichidae","Primates","South_America",NA,NA
"1259","Saguinus_pileatus","Saguinus","Callitrichidae","Primates","South_America",NA,NA
"1318","Sorex_bairdii","Sorex","Soricidae","Insectivora","North_America",NA,NA
"1324","Sorex_gaspensis","Sorex","Soricidae","Insectivora","North_America",NA,NA
"1327","Sorex_hydrodromus","Sorex","Soricidae","Insectivora","North_America",NA,NA
"1358","Spermophilus_beecheyi","Spermophilus","Sciuridae","Rodentia","North_America",NA,NA
"1378","Spermophilus_variegatus","Spermophilus","Sciuridae","Rodentia","North_America",NA,NA
"1400","Sturnira_thomasi","Sturnira","Phyllostomidae","Chiroptera","South_America",NA,NA
"1467","Thomasomys_ischyurus","Thomasomys","Muridae","Rodentia","North_America",NA,NA
"1492","Thylamys_macrura","Thylamys","Didelphidae","Didelphimorphia","South_America",NA,NA
"1494","Thylamys_pusilla","Thylamys","Didelphidae","Didelphimorphia","South_America",NA,NA
"1534","Wilfredomys_pictipes","Wilfredomys","Muridae","Rodentia","North_America",NA,NA
