ECOREGION_CODE,ECO_NAME,REALM,BIOME,G200_REGIO,New_Biome,New_Biome_2
NT0903,Enriquillo wetlands,NT,9, ,N.A.,N.A.
NT0801,Espinal,NT,8, ,SA_TeG,SA_TeG
NT0904,Everglades,NT,9,Everglades Flooded Grasslands,NA_TeG,NA_TeG
NT0123,Fernando de Noronha-Atol das Rocas moist forests,NT,1, ,N.A.,N.A.
NA0807,Flint Hills tall grasslands,NA,8, ,NA_TeG,NA_TeG
NA0513,Florida sand pine scrub,NA,5, ,NA_TeG,NA_TeG
NA0514,Fraser Plateau and Basin complex,NA,5, ,NA_TeF,NA_TeF
NT1307,Galapagos Islands scrubland mosaic,NT,13,Galapagos Islands Scrub,N.A.,N.A.
NA0515,Great Basin montane forests,NA,5, ,NA_TeF,NA_TeF
NA1305,Great Basin shrub steppe,NA,13, ,NA_TeG,NA_TeG
NT1308,Guajira-Barranquilla xeric scrub,NT,13, ,SA_TrG,SA_TrG
NT0905,Guayaquil flooded grasslands,NT,9, ,SA_TrG,SA_TrG
NT0149,Guianan freshwater swamp forests,NT,1,Guianan Moist Forests,SA_TrF,SA_TrF
NT0124,Guianan Highlands moist forests,NT,1,Guianan Highlands Moist Forests,SA_TrF,SA_TrF
NT0125,Guianan moist forests,NT,1,Guianan Moist Forests,SA_TrF,SA_TrF
NT0182,Guianan piedmont and lowland moist forests,NT,1,Guianan Highlands Moist Forests,SA_TrF,SA_TrF
NT0707,Guianan savanna,NT,7, ,SA_TrG,SA_TrG
NA1306,Gulf of California xeric scrub,NA,13,Sonoran-Baja Deserts,NA_TeG,NA_TeG
NA0408,Gulf of St. Lawrence lowland forests,NA,4, ,NA_TeF,NA_TeF
NT0126,Gurupa varzea,NT,1,Amazon River and Flooded Forests,SA_TrF,SA_TrF
NA1110,High Arctic tundra,NA,11, ,NA_TeG,NA_TeG
NT1010,High Monte,NT,10, ,SA_TeG,SA_TeG
NT0215,Hispaniolan dry forests,NT,2, ,N.A.,N.A.
NT0127,Hispaniolan moist forests,NT,1,Greater Antillean Moist Forests,N.A.,N.A.
NT0305,Hispaniolan pine forests,NT,3,Greater Antillean Pine Forests,N.A.,N.A.
NT0708,Humid Chaco,NT,7, ,SA_TeG,SA_TeG
NT0803,Humid Pampas,NT,8, ,SA_TeG,SA_TeG
NA0607,Interior Alaska-Yukon lowland taiga,NA,6, ,NA_TeF,NA_TeF
NA1111,Interior Yukon-Alaska alpine tundra,NA,11, ,NA_TeG,NA_TeG
