,SCIENTIFIC_NAME,GENUS,FAMILY,ORDER,Origin_Class,Equivalent,Equivalent_source
971,Oryzomys_auriventer,Oryzomys,Muridae,Rodentia,North_America,Nephelomys_auriventer,VertLife
972,Oryzomys_balneator,Oryzomys,Muridae,Rodentia,North_America,Oreoryzomys_balneator,VertLife
973,Oryzomys_bolivaris,Oryzomys,Muridae,Rodentia,North_America,Transandinomys_bolivaris,VertLife
974,Oryzomys_buccinatus,Oryzomys,Muridae,Rodentia,North_America,Sooretamys_angouya,ASM
975,Oryzomys_capito,Oryzomys,Muridae,Rodentia,North_America,Hylaeamys_megacephalus,ASM
976,Oryzomys_chapmani,Oryzomys,Muridae,Rodentia,North_America,Handleyomys_chapmani,VertLife
978,Oryzomys_devius,Oryzomys,Muridae,Rodentia,North_America,Nephelomys_devius,VertLife
979,Oryzomys_galapagoensis,Oryzomys,Muridae,Rodentia,North_America,Aegialomys_galapagoensis,VertLife
981,Oryzomys_hammondi,Oryzomys,Muridae,Rodentia,North_America,Mindomys_hammondi,VertLife
982,Oryzomys_intectus,Oryzomys,Muridae,Rodentia,North_America,Handleyomys_intectus,VertLife
983,Oryzomys_keaysi,Oryzomys,Muridae,Rodentia,North_America,Nephelomys_keaysi,VertLife
984,Oryzomys_kelloggi,Oryzomys,Muridae,Rodentia,North_America,Euryoryzomys_russatus,VertLife
985,Oryzomys_lamia,Oryzomys,Muridae,Rodentia,North_America,Euryoryzomys_lamia,VertLife
986,Oryzomys_legatus,Oryzomys,Muridae,Rodentia,North_America,Euryoryzomys_legatus,VertLife
987,Oryzomys_levipes,Oryzomys,Muridae,Rodentia,North_America,Nephelomys_levipes,VertLife
988,Oryzomys_macconnelli,Oryzomys,Muridae,Rodentia,North_America,Euryoryzomys_macconnelli,VertLife
989,Oryzomys_melanotis,Oryzomys,Muridae,Rodentia,North_America,Handleyomys_melanotis,VertLife
990,Oryzomys_nitidus,Oryzomys,Muridae,Rodentia,North_America,Euryoryzomys_nitidus,VertLife
991,Oryzomys_oniscus,Oryzomys,Muridae,Rodentia,North_America,Hylaeamys_oniscus,VertLife
993,Oryzomys_polius,Oryzomys,Muridae,Rodentia,North_America,Eremoryzomys_polius,VertLife
994,Oryzomys_ratticeps,Oryzomys,Muridae,Rodentia,North_America,Sooretamys_angouya,VertLife
995,Oryzomys_rhabdops,Oryzomys,Muridae,Rodentia,North_America,Handleyomys_rhabdops,VertLife
996,Oryzomys_rostratus,Oryzomys,Muridae,Rodentia,North_America,Handleyomys_rostratus,VertLife
997,Oryzomys_saturatior,Oryzomys,Muridae,Rodentia,North_America,Handleyomys_saturatior,VertLife
998,Oryzomys_subflavus,Oryzomys,Muridae,Rodentia,North_America,Cerradomys_subflavus,VertLife
999,Oryzomys_talamancae,Oryzomys,Muridae,Rodentia,North_America,Transandinomys_talamancae,VertLife
1000,Oryzomys_xantheolus,Oryzomys,Muridae,Rodentia,North_America,Aegialomys_xanthaeolus,VertLife
1001,Oryzomys_yunganus,Oryzomys,Muridae,Rodentia,North_America,Hylaeamys_yunganus,VertLife
1014,Oxymycterus_iheringi,Oxymycterus,Muridae,Rodentia,North_America,Brucepattersonius_iheringi,VertLife
1026,Perognathus_alticola,Perognathus,Heteromyidae,Rodentia,North_America,Perognathus_alticolus,VertLife
1069,Peromyscus_oreas,Peromyscus,Muridae,Rodentia,North_America,Peromyscus_keeni,ASM
1077,Peromyscus_sitkensis,Peromyscus,Muridae,Rodentia,North_America,Peromyscus_keeni,ASM
1105,Phyllotis_bonaeriensis,Phyllotis,Muridae,Rodentia,North_America,Phyllotis_bonariensis,VertLife
1109,Phyllotis_gerbillus,Phyllotis,Muridae,Rodentia,North_America,Paralomys_gerbillus,VertLife
1135,Plecotus_townsendii,Plecotus,Vespertilionidae,Chiroptera,North_America,Corynorhinus_townsendii,VertLife
1141,Procyon_insularis,Procyon,Procyonidae,Carnivora,North_America,Procyon_lotor,ASM
1144,Proechimys_albispinus,Proechimys,Echimyidae,Rodentia,South_America,Trinomys_albispinus,ASM
1145,Proechimys_amphichoricus,Proechimys,Echimyidae,Rodentia,South_America,Proechimys_quadruplicatus,ASM
1146,Proechimys_bolivianus,Proechimys,Echimyidae,Rodentia,South_America,Proechimys_brevicauda,ASM
1149,Proechimys_cayennensis,Proechimys,Echimyidae,Rodentia,South_America,Proechimys_guyannensis,ASM
1152,Proechimys_dimidiatus,Proechimys,Echimyidae,Rodentia,South_America,Trinomys_dimidiatus,VertLife
1154,Proechimys_gorgonae,Proechimys,Echimyidae,Rodentia,South_America,Proechimys_semispinosus,ASM
1156,Proechimys_gularis,Proechimys,Echimyidae,Rodentia,South_America,Proechimys_brevicauda,ASM
1157,Proechimys_iheringi,Proechimys,Echimyidae,Rodentia,South_America,Trinomys_iheringi,VertLife
1164,Proechimys_setosus,Proechimys,Echimyidae,Rodentia,South_America,Trinomys_setosus,VertLife
1167,Proechimys_trinitatis,Proechimys,Echimyidae,Rodentia,South_America,Proechimys_trinitatus,VertLife
1181,Puma_yaguarondi,Puma,Felidae,Carnivora,North_America,Herpailurus_yagouaroundi,VertLife
1222,Rhipidomys_scandens,Rhipidomys,Muridae,Rodentia,North_America,Rhipidomys_latimanus,ASM
1247,Saguinus_graellsi,Saguinus,Callitrichidae,Primates,South_America,Leontocebus_nigricollis,ASM
1253,Saguinus_melanoleucus,Saguinus,Callitrichidae,Primates,South_America,Leontocebus_weddelli,ASM
1259,Saguinus_pileatus,Saguinus,Callitrichidae,Primates,South_America,Saguinus_mystax,ASM
1318,Sorex_bairdii,Sorex,Soricidae,Insectivora,North_America,Sorex_bairdi,VertLife
1324,Sorex_gaspensis,Sorex,Soricidae,Insectivora,North_America,Sorex_dispar,ASM
1327,Sorex_hydrodromus,Sorex,Soricidae,Insectivora,North_America,NA,NA
1358,Spermophilus_beecheyi,Spermophilus,Sciuridae,Rodentia,North_America,Otospermophilus_beecheyi,VertLife
1378,Spermophilus_variegatus,Spermophilus,Sciuridae,Rodentia,North_America,Otospermophilus_variegatus,VertLife
1400,Sturnira_thomasi,Sturnira,Phyllostomidae,Chiroptera,South_America,Sturnira_angeli,ASM
1467,Thomasomys_ischyurus,Thomasomys,Muridae,Rodentia,North_America,Thomasomys_ischyrus,VertLife
1492,Thylamys_macrura,Thylamys,Didelphidae,Didelphimorphia,South_America,Thylamys_macrurus,VertLife
1494,Thylamys_pusilla,Thylamys,Didelphidae,Didelphimorphia,South_America,Thylamys_pusillus,VertLife
1534,Wilfredomys_pictipes,Wilfredomys,Muridae,Rodentia,North_America,Juliomys_pictipes,VertLife
